"ADLr171" "ADLr172" "ADLr173" "ADLr174" "AFDr35" "AFDr36" "AFDr37" "AFDr38" "AFDr39" "AINr184" "AINr185" "AINr186" "AINr187" "AINr188" "AINr189" "AIYr65" "AIYr66" "AIYr67" "ASELr149" "ASELr150" "ASELr151" "ASERr144" "ASERr145" "ASERr146" "ASERr147" "ASGr13" "ASGr14" "ASGr15" "ASGr16" "ASIr152" "ASIr153" "ASIr154" "ASIr155" "ASKr46" "ASKr47" "ASKr48" "ASKr49" "AVAr21" "AVAr22" "AVAr23" "AVAr24" "AVAr25" "AVAr26" "AVEr40" "AVEr41" "AVEr42" "AVGr43" "AVGr44" "AVGr45" "AVHr175" "AVHr176" "AVHr177" "AVHr178" "AVKr109" "AVKr110" "AVKr111" "AVKr112" "AVMr226" "AVMr227" "AVMr228" "AWAr17" "AWAr18" "AWAr19" "AWAr20" "AWBr50" "AWBr51" "AWBr52" "AWBr53" "AWBr54" "AWCr156" "AWCr157" "AWCr158" "AWCr159" "BAGr118" "BAGr119" "BAGr120" "BAGr121" "CANr104" "CANr91" "CANr93" "DAr87" "DAr88" "DAr89" "DAr90" "DDr83" "DDr84" "DDr85" "DDr86" "I5r208" "I5r209" "I5r210" "I5r211" "IL1r105" "IL1r106" "IL1r108" "IL2r94" "IL2r95" "IL2r96" "IL2r97" "NSMr59" "NSMr68" "NSMr69" "OLLr212" "OLLr213" "OLQr219" "OLQr220" "OLQr221" "PHAr204" "PHAr205" "PHAr206" "PHAr207" "PVCr214" "PVCr215" "PVCr216" "PVCr217" "PVCr218" "PVDr62" "PVDr63" "PVMr123" "PVMr126" "RIAr71" "RIAr72" "RIAr73" "RIAr74" "RIAr75" "RIAr76" "RICr134" "RICr135" "RICr136" "RICr137" "RIMr222" "RIMr223" "RIMr224" "RIMr225" "RISr129" "RISr131" "RISr132" "RMDr179" "RMDr180" "RMDr181" "RMDr182" "RMDr183" "SMDr200" "SMDr201" "SMDr202" "SMDr203" "VBr31" "VBr32" "VBr33" "VBr34" "VCr138" "VCr139" "VCr140" "VCr141" "VCr142" "VCr143" "VDr77" "VDr78" "VDr79" "VDr81"
"Neuron" 0.617952202052905 0.672142213830675 0.310276614778815 0.369759939012465 0.606654087981348 0.468536094285799 0.456106758900309 0.521851428660616 0.531620372110816 0.450801876133937 0.540400990863792 0.587210865346903 0.336386312287368 0.487084644325167 0.525605617101879 0.339559522963064 0.268306473439195 0.411629473066346 0.406879879567071 0.362640033177592 0.354164245415433 0.567666594722014 0.483278760800975 0.552414223842513 0.426490344511886 0.652741983960725 0.672676249895471 0.440796500062491 0.477874066452873 0.231798266392646 0.457464915321562 0.542248698526159 0.290712177190174 0.369077478412888 0.431444121748356 0.61736444315796 0.600847101565901 0.349507138363399 0.380200069530552 0.269839888264288 0.285981666899024 0.333283444760155 0.376679770944307 0.362414677758808 0.318288111716911 0.37433344756425 0.323778930460562 0.438559910968992 0.59739639594474 0.105391695757355 0.326637297980019 0.168223883616447 0.26185054311019 0.332415902476975 0.225714606126597 0.425010369805099 0.409936891387505 0.481607755279463 0.516709614775327 0.524260083282374 0.630697394393466 0.467554813464154 0.395053309885199 0.179740625286826 0.452750499151857 0.104728333453704 0.280953044053209 0.43755040974422 0.380428783379564 0.299558652729554 0.300162943743297 0.184951972545504 0.281125725897322 0.318204417254729 0.354309285366577 0.334243684640953 0.320579821972742 0.328969974759712 0.216496410761971 0.198108582664831 0.504947026614151 0.407560968745365 0.259688749410046 0.346316227464201 0.301381973770718 0.277050755502259 0.266325035540128 0.318478647005421 0.24482343996826 0.364018499045046 0.373873027534375 0.322219195601128 0.358389378699298 0.174022392415258 0.268342845000861 0.184607788800202 0.567799354721689 0.619925410382073 0.609619954696812 0.257473339330442 0.176499436599378 0.332881433233949 0.1169001742658 0.157635880110331 0.143358177038302 0.111260189254066 0.178125056103782 0.181435449386815 0.290403707119155 0.271550894008463 0.256034879953475 0.274422012768126 0.169397299060305 0.226635264115354 0.238971067331288 0.240177673674553 0.283816979807112 0.462558785361711 0.338836262614726 0.444422758442428 0.255395842500614 0.324441985811515 0.239643759111417 0.254866117362664 0.13424157810014 0.1347875564989 0.474399818563284 0.221067057264075 0.430167105243642 0.432420396185893 0.45278465201859 0.404107364922281 0.205256513840589 0.461939894376868 0.158674555135231 0.375035325699073 0.152140061890664 0.267616754346085 0.278864026312932 0.282655763481662 0.244348561370326 0.385227149345082 0.429036063879372 0.480994310779022 0.363711587277956 0.325503765906024 0.293105267801724 0.39271056589516 0.217880788353554 0.40912223429638 0.167568717017106 0.177974029447957 0.249728597930283 0.224669728137881 0.234812675338565 0.225566027633369 0.240219228055042 0.222502056360891 0.194266266387401 0.243842279733871
"Excretory" 0.0241097375230868 0.0215466131613825 0.0279905924250499 0.0325596929412621 0.0261194286713404 0.0272788282523006 0.0309479164408033 0.0287720914293147 0.0274337473802378 0.0237712817098173 0.0256764388300147 0.0240845535597407 0.0246118243354173 0.0252068128691589 0.0264718025341226 0.0286185756185451 0.0239963069764362 0.0253038166355909 0.0282942824690626 0.0306792115172321 0.032939111722982 0.0239604391799565 0.0260066367918165 0.0230975050373073 0.0262412248460928 0.0185280003978483 0.0174218656717482 0.0223066137604672 0.0178541556435051 0.030076106485266 0.0419051960680474 0.0223271798081955 0.0334617430036543 0.0206486146906058 0.0177700295689457 0.0262794077573958 0.0201944209432579 0.0307139677947402 0.0320416750935199 0.0273044903547669 0.0306721079386208 0.0324869924935908 0.0340507632235835 0.0340542464478939 0.0342810894107279 0.0328144244479166 0.0240684412756894 0.0196777619774295 0.0198466588382783 0.0281591897589238 0.037208169736023 0.0326316998185539 0.0328247525040923 0.0260833255225534 0.0317657124139448 0.0241545361574852 0.0267205844239473 0.027413257415596 0.0243103474426135 0.023337702591189 0.0245675350623252 0.0286193122429668 0.0327341881476113 0.0312262485715417 0.0312484407301218 0.0301768966400796 0.0327893836523411 0.0289563981748833 0.0260631806688076 0.0433569701582358 0.0379976366562361 0.0355032155811123 0.033519407720382 0.0338683566798232 0.0307504199716985 0.0352024950349592 0.0342515728729725 0.026616338809907 0.0460346836362471 0.0405288506688102 0.0222651251967191 0.0259722084348803 0.0270639484906867 0.0259274814409357 0.0299350625765056 0.0333543538445811 0.0331674643997421 0.0360774422003084 0.0308197414319266 0.0213109461969422 0.0245468213692304 0.0239197032039083 0.0347686817045736 0.0362338900383081 0.0396017192682965 0.0321959962401119 0.0220481125663052 0.0277853684259756 0.0295411583449212 0.0356440100641771 0.0380326389747259 0.0283726650322279 0.0368696647102473 0.037462213164665 0.0365481595662033 0.0384521502851138 0.0315882633144042 0.0337133227868699 0.0275497721211848 0.0284207509428069 0.0286915392333405 0.0307265996327446 0.0365926002151407 0.0412367137644324 0.0284279478713268 0.0320708301479015 0.0314450602536806 0.0274359743791237 0.0346146973968682 0.0304206716757559 0.0380156395426274 0.0366997885838822 0.0365778156836563 0.034131517383842 0.0303957916980685 0.0326266982125873 0.0266455769611062 0.0346474582843156 0.0279034051078797 0.0260476445065855 0.0277658777988556 0.0322190392708154 0.0288439678506798 0.0258916105569064 0.0292108327032901 0.0287511746209464 0.0291440558799456 0.0352028618973437 0.0315670786100936 0.0319939814205608 0.0387737244859281 0.0434353821145318 0.0289182523906736 0.0265211902289842 0.0301108492613971 0.0313270738619913 0.0331887462044975 0.0237307409893117 0.0266101256707014 0.0213397144274928 0.0378071150998748 0.0372884621139483 0.037687409968315 0.042458124147283 0.0434946946021311 0.0412105996062419 0.0350119678286116 0.0288985682623932 0.0372942050426259 0.0367987553485909
"Glia" 0.0618735948238053 0.0594035635869576 0.080592527874746 0.0799285317697342 0.0598959312930513 0.0746642086642846 0.0687454303628385 0.0672350841788644 0.0650242701774615 0.0771262215148496 0.0898445223926541 0.0787675693291812 0.0770331554813395 0.0977746881124432 0.0916584847423626 0.082207727465606 0.0737524535945839 0.0930977337798653 0.0928803411972098 0.0927115681053479 0.0861732863303616 0.0790614830464714 0.0950802416071206 0.0828437952967658 0.0986459162329336 0.0589357135546126 0.0548263570838667 0.0642945473401517 0.0594481096825358 0.124579953132482 0.0780451570567236 0.0603633834436302 0.126200956546342 0.0805758400324462 0.0601198670407611 0.0715903944247492 0.0748914473278235 0.0986668081143375 0.0833175451825214 0.0820396563504616 0.0981603438921673 0.0895932673694641 0.0931011916719101 0.0941772936600742 0.115257235497498 0.101268441454934 0.0863866689508595 0.0574338472887521 0.0463962262390084 0.0936903326861415 0.11044483338133 0.111495759980687 0.0986343461020501 0.0866522870814854 0.083526183334023 0.0680186240857949 0.0750907061897406 0.095238933516293 0.0632063346979462 0.0845081038127738 0.0672966583038393 0.0743634287047725 0.111413888690365 0.0940412587428723 0.0873016209554572 0.11081109768597 0.10731593131217 0.0847176098786531 0.0980098741448092 0.102555192683532 0.119881560959871 0.138340837548117 0.0893358100451792 0.0948943514544796 0.0987104316648376 0.109040888487936 0.107630172953808 0.0958851210838991 0.096491059272588 0.147839898112314 0.0623884122992053 0.0725638169071495 0.0997271069122146 0.0783351124603063 0.0985550896948968 0.102015134254138 0.087244272229544 0.0887445204703176 0.0874899296891069 0.0880402286658681 0.0979471993574761 0.0860976289593662 0.127962090957713 0.171102094771628 0.11810656308847 0.0948469707534052 0.0840700226236759 0.0779465804934128 0.0829958677696417 0.0965732397360672 0.0785912388329935 0.0810187392955441 0.121061440149576 0.130647544076633 0.144395259670898 0.113023256723582 0.110954993969291 0.153128719946347 0.114852543699897 0.090913014437969 0.11511605070764 0.126112668536161 0.118683042235339 0.147652636599167 0.111701248881547 0.116819640979264 0.101953894749665 0.0961875081118932 0.115804749424817 0.0834150630386854 0.0998273183999317 0.0835034937273518 0.100505511149133 0.102472630914869 0.0983990038064154 0.0963126521155665 0.0833846013635157 0.083835395372271 0.0940124736757175 0.0947054267049188 0.0871750240640392 0.0969741765670385 0.125919199031111 0.0649065251634166 0.105016187440759 0.0871998072702384 0.179135551089353 0.130656456542347 0.155373359324975 0.143100863735484 0.118424347019223 0.114412704281843 0.0719571739236948 0.0722493069437058 0.107310547962819 0.136931336945796 0.086977340162828 0.0940320342205759 0.091335346196405 0.0834398108308376 0.0982094139026512 0.12191840429985 0.088905966143399 0.101179903151202 0.105000747354028 0.0919191713083227 0.0928945110804247 0.0983985875903153 0.0946017593734642 0.0975485968821831
"Hypodermis" 0.0693835314345123 0.0479767193081113 0.149927449159991 0.109365622890811 0.0411889559167858 0.0810996136262722 0.0800012580358283 0.080010917231375 0.0719946186491217 0.0988333166111202 0.0677725191211935 0.0543008738432908 0.162066318269224 0.0958633731233099 0.0709151156191828 0.14515246392381 0.167979945063542 0.166497990939764 0.127356636577825 0.137040142208739 0.131473227813593 0.0816049944407605 0.105074267067645 0.0764089131600516 0.109100044938829 0.0554878826033637 0.056327593709906 0.059660644452788 0.109785500831087 0.124750029197265 0.0687825257312884 0.0979158792072601 0.0859472095219569 0.145521666853484 0.158808538182426 0.0707272757899211 0.0526001929214301 0.116603353500633 0.114832022137983 0.187532363204223 0.141783221757603 0.132220313058435 0.102192377973592 0.0999671559758901 0.107358949584497 0.0960366534067054 0.14267794451664 0.149426034552699 0.0910385193787642 0.217664615031056 0.0910265246432979 0.14940570861299 0.173890459422898 0.132330120305298 0.150908489152746 0.134483857212076 0.0947004519075447 0.0826461925042836 0.0773555609884484 0.0709921191268194 0.0545477050027292 0.0999397469637165 0.0962181119154553 0.130473631413398 0.0936426671525027 0.122783713283769 0.12586846492747 0.088177309080899 0.124394615671858 0.0884723172796805 0.113203093748735 0.119778436858583 0.150564633733157 0.152192232404892 0.124040756601684 0.110485186809803 0.126822848996962 0.0933670510216457 0.282814991128211 0.128181307534338 0.0945359658880133 0.123270703283804 0.156175380217611 0.133155460723492 0.0974546941940471 0.137306139343862 0.115097433638757 0.114525025849705 0.167320380855657 0.0950118589856364 0.107329973590545 0.146853008232919 0.107031657487162 0.132964941506105 0.147923888355485 0.127605161335683 0.0812824324860885 0.0601085350207087 0.0522740416821394 0.128845150649146 0.120460018196582 0.132535521582986 0.131455435774823 0.138015486793534 0.127890495060154 0.134889243484811 0.154469853880967 0.141638618416244 0.110867138638124 0.137476736929733 0.141165800815729 0.102660915667233 0.153572527626801 0.134479721945093 0.147318361627855 0.10903397385484 0.120128529454859 0.0896788087952926 0.14487875931488 0.106859376026633 0.166779100457767 0.0997770507724048 0.157310020143784 0.128696399543635 0.160921158614629 0.205972432788242 0.114773813318343 0.153850265077555 0.164380492770998 0.160402015847299 0.0744459711196617 0.101430971284989 0.114449860350071 0.0982945993735276 0.133944259866331 0.122793530392785 0.17251308201023 0.151504103303885 0.120199568339893 0.139094557514913 0.15083680261378 0.11702909953781 0.112779524076043 0.0885696946871748 0.102460539048792 0.102059207478199 0.129106565639573 0.159711928680244 0.171783391629887 0.116435095311093 0.15650691272095 0.146517334264832 0.125945801057955 0.117420880544594 0.114063189766043 0.126999731012658 0.143328605316778 0.137769283961173 0.160396943773849 0.135685280433612
"Intestine" 0.0436058156448597 0.0353184141348266 0.106351113619771 0.130499232468579 0.0550521729499212 0.0870701292962412 0.10481837663557 0.0639256632896367 0.0684499779407017 0.0963918727015129 0.0639629039645823 0.0609895884569026 0.085199011648154 0.0688046995715864 0.0675101239025095 0.119138455501159 0.0987429112444442 0.0775985806052564 0.100951041649139 0.0986190280901552 0.0909805821924637 0.0570390952602836 0.0705142692031997 0.0553496913533321 0.0973814312021791 0.0485997716395679 0.0439478180810896 0.142252007551057 0.117775849625212 0.130508480152832 0.0769584044700176 0.0536863606350839 0.0867224837805039 0.084078512516746 0.0751819119951521 0.0375694956255877 0.0407892075895233 0.0771275498944667 0.11587652050243 0.100475721655148 0.0938275526679416 0.0971026908607885 0.0965989698965895 0.0972027119954369 0.0938688998007138 0.0913770551362714 0.0919634942932488 0.0872832179067925 0.0526180086680324 0.141986206597915 0.0603770313839597 0.147510067893203 0.0859171476884978 0.101313484454098 0.133051945002748 0.0895859339624587 0.105071615459586 0.0575670167187567 0.0653473797411662 0.0760650575399579 0.0317548009816115 0.0826341949716847 0.0780599285818604 0.198172881013053 0.0626614958155528 0.175610033155219 0.116404844947369 0.0848303435840569 0.0891070420425051 0.129584921839887 0.0907942430857062 0.101195346014071 0.103033785353267 0.0834461389850059 0.0994832527968217 0.0847175486933269 0.0871653593440308 0.0933014613108681 0.0878544093347617 0.120032328595554 0.0771288386033058 0.0966019513447441 0.0949781707090318 0.143319835056442 0.102793646206766 0.119568161362052 0.123322134635038 0.148369633185386 0.0999196692154595 0.116272750888359 0.0766441855911113 0.0903683702038314 0.0789412248886567 0.0768981154205143 0.100565946920912 0.130692282183538 0.0294737904628065 0.0292811243202963 0.034752439685611 0.15477558627223 0.185678987987163 0.122560920620223 0.0767179206011908 0.111346579960462 0.10023600560945 0.140092991477909 0.124452170287925 0.0760029890151252 0.0972614854458892 0.0941720753703958 0.0738102495096891 0.0970060873190387 0.103949026483307 0.11491240520215 0.0839648173305749 0.0879283744436592 0.135778529579214 0.0721552079717455 0.0786079273156409 0.0709685164074086 0.0933591312963694 0.109523830791161 0.102046656388591 0.0947186481628198 0.17762015405684 0.149543825173959 0.0560611473952698 0.157525249427277 0.0549941236567401 0.0517371734285304 0.0699985553209517 0.0875667586952536 0.0958834489445133 0.104733629081574 0.157230800633606 0.0955211654144671 0.0788656800657608 0.0753503047309769 0.0687847266149709 0.0778433550467195 0.114459395289526 0.0655153362485142 0.0750811656209906 0.0802149661505238 0.0888052095829806 0.0595965931582842 0.107344540395485 0.0784057892507648 0.126404403896503 0.0945670540846755 0.141459773522991 0.109677983908419 0.120623645156471 0.11161879136252 0.10086843900865 0.126242063705876 0.145315129388376 0.127457582782257 0.141941221145369 0.153820330104622
"Muscle_mesoderm" 0.0530988100756082 0.0457058380484784 0.114983624221905 0.107729118307135 0.0555110580904602 0.066762271655768 0.0788035228286137 0.0553027889164186 0.067144862806685 0.0885804351415877 0.068600017707755 0.0607075620941173 0.102115710729514 0.0728998630255945 0.0646120960694369 0.0938719815031874 0.105493584948348 0.066687484771436 0.0675457460409177 0.0748201471384648 0.0849131120198188 0.056452605927341 0.0610833869444967 0.0637280620724163 0.0747335374033739 0.0469553336448178 0.0424868276575119 0.112925210831065 0.072627359963562 0.124387217098918 0.0946109425509538 0.0836365567670554 0.112498102701045 0.0839925741379446 0.0834777836833556 0.0520419836346724 0.0625592120779707 0.087053152543704 0.0697631933061561 0.113091119494567 0.0891932302453258 0.080896904083845 0.0856276061652287 0.0912020314983986 0.103037348587489 0.0953926606690371 0.0824744599001243 0.0852762133660707 0.0659713220719331 0.146150186232244 0.099865814127396 0.150089503700393 0.107499130265744 0.116816958596076 0.120231114142835 0.102057474998553 0.100577821154053 0.0847669929967121 0.0576637319852805 0.07009716457935 0.0531997736111199 0.0611434194345559 0.0881852445257596 0.095062240610493 0.0865455591944256 0.162835412972941 0.119591844316017 0.0957830759032965 0.0832651663779857 0.104891231720497 0.0985794995936224 0.130848875913678 0.0966124539113039 0.0814925358263341 0.0805120425090566 0.106514148864506 0.0929659419641459 0.113221328871392 0.0928920631510801 0.13452591376222 0.0575131057956405 0.0674801712090189 0.0977207547787967 0.0765081176774716 0.122390937166537 0.0950275502200875 0.117352073550351 0.0916973119221928 0.102572237822453 0.0836938157066942 0.0885855319503188 0.10386030639681 0.08989050509657 0.168465118904151 0.116444598972696 0.159917432040042 0.0545960833433107 0.0487290364031594 0.0509772304316843 0.0897508068307739 0.113919244304499 0.092307932717089 0.108243531069102 0.104038875511139 0.154287850299545 0.124346779137657 0.102400834090531 0.112982538514877 0.114348793356725 0.115933678252437 0.0890511447888742 0.0935652804647967 0.1495452270725 0.130321152525589 0.0949836831100634 0.101278646224675 0.11000304059256 0.0755933919164661 0.0995407519743253 0.0793082086820096 0.079489010914052 0.105937285532932 0.0881429278710921 0.116283178930749 0.138693108031 0.127497577834401 0.0624244348275839 0.111910273618483 0.054744536493359 0.0577835818732717 0.0953095998808843 0.0943150253827889 0.118003552795533 0.0644533172280069 0.135043181686304 0.101680341634359 0.143355138788721 0.0796561933063618 0.0938901922038769 0.0880795275383412 0.10718486001085 0.0718600845766795 0.0775626837139312 0.0713244699832027 0.095637168713255 0.111644725301137 0.0935743062270945 0.080460887229489 0.1283542157128 0.090383427822343 0.105582237793115 0.119437610445591 0.101317654375316 0.124368351297835 0.111870992736222 0.103618553904797 0.124672024176355 0.196023499322144 0.124102098104974 0.116045938704132
"Pharynx" 0.0369603251859043 0.0386972887551454 0.0735793107641872 0.0578640598734302 0.0515939464050627 0.0602472140188356 0.0698934447453223 0.0548788028719391 0.0517789903902423 0.0612006990927812 0.0561468384996308 0.0525277311558675 0.0475384884297891 0.0642530250852552 0.0557141048252591 0.0587732397771076 0.0575241058818181 0.0655417843729648 0.0664944738880851 0.0696859936771152 0.0695771422485544 0.0485255568613012 0.0626547381249695 0.0537890568051501 0.0652206140292407 0.0455170709775953 0.0354470806992246 0.0640789595712094 0.0314266116714811 0.121966754189827 0.0640432047388502 0.0521333885643666 0.102297866144111 0.066796750382175 0.0366100319915389 0.0374450447615189 0.0430514303850378 0.0775550327260488 0.0559163377559043 0.0689579763030199 0.0716420644402264 0.0679532231466866 0.0598305893206443 0.0767379748930136 0.0835608736070114 0.0751979675606154 0.064622010151053 0.0444524774702808 0.0350249890320102 0.0638441016748183 0.0691632471762604 0.0722885736871633 0.061554629881283 0.0693778943973094 0.0733095066945512 0.0391074228070241 0.0572747066083551 0.0652984448095791 0.0489574195008284 0.05367233594827 0.0479377070640788 0.0555033957802523 0.0770091787172519 0.0872511390173337 0.061078944604726 0.142901073259111 0.0912044319588325 0.0761343072870958 0.0690036950157329 0.0823232820739122 0.0911357335141061 0.11050527832727 0.0750650547900984 0.0760519006597488 0.073061471372784 0.0804762927397658 0.076317193970663 0.0944281232020583 0.06047247361972 0.0892266220722379 0.0477500302164459 0.0555182144160749 0.0730696856945302 0.0660623028079982 0.127218090412168 0.074572341629294 0.0812188482131478 0.0769051309879992 0.0750105431634051 0.0825908164753416 0.0664146141444619 0.0622955755623444 0.0783177161392 0.115886616593509 0.0884500289230783 0.0517490817076259 0.0790828954929544 0.0490711215716416 0.0532553193458242 0.088689532033851 0.0507814331187968 0.0622337346377508 0.104743533690444 0.103840554316261 0.135839864658601 0.118774430962719 0.0820052097059578 0.12775364324479 0.0860208371864852 0.0748218340377013 0.0871050567424468 0.12932222938401 0.0817279413619894 0.0810302323354669 0.0904102549201432 0.0924129823172011 0.0842046590667895 0.0583474991045644 0.069438097447363 0.0631285028555704 0.069121784654139 0.066596358481626 0.0803544806135436 0.0709379723533384 0.0785116784731123 0.0841156540217638 0.0539621233324045 0.0629895539503549 0.0566811380207633 0.057575188201117 0.068002900738576 0.0611855787690895 0.100822696294838 0.0484349568975819 0.0922043017378446 0.0647942766132907 0.123540883842992 0.0845094777159647 0.0866158548703256 0.0877624792906328 0.0852230413591733 0.0545046059144111 0.0567445972165173 0.0568766337714332 0.0804446316566438 0.108684540970054 0.0572205697725496 0.0615042340760287 0.0777708653415113 0.0642050081898708 0.0901135539541767 0.0817499030300842 0.069477671241659 0.0753930253061628 0.0746352963844631 0.0707183441695806 0.0758257227800802 0.0731934993453349 0.0784652495347605 0.0806005175790589
"Reproductive" 0.093015983259318 0.0792093491744223 0.136298767155536 0.112293802736583 0.10398441869203 0.1343416402005 0.110683292050714 0.128023223421836 0.116553160544734 0.103294297094394 0.0875957686203778 0.0814112562139973 0.165049178819195 0.0881128938874851 0.0975126552052478 0.132678033247521 0.204204218851632 0.0936431358287759 0.109597598610689 0.133803876085353 0.149779292256794 0.0856892305618713 0.0963076994597761 0.0923687524324636 0.102186886835464 0.0732342432214693 0.0768662072011824 0.0936855164307705 0.113208346129745 0.111933193350764 0.118189654062557 0.0876885530482499 0.162159461112213 0.14930856297371 0.136587715789465 0.0869819548481942 0.105066987189056 0.162772997062671 0.148052636490933 0.150758784373525 0.188739812159092 0.166463164227035 0.151918730804145 0.144243907770485 0.144347491795153 0.13357934976027 0.184028050451823 0.117890536468983 0.0917078798272338 0.203113672261547 0.205277081571713 0.168354802690563 0.177828991025245 0.135010027166206 0.181492443132556 0.117581780971509 0.130627222869268 0.105461406759316 0.14644961086839 0.0970674331192661 0.0899984255808302 0.130241688437897 0.121326149536497 0.184031975344482 0.124770772395357 0.150153439549207 0.125872054832591 0.103850546346895 0.129727642698737 0.1492574315147 0.148245288698426 0.178876037211664 0.170743128549289 0.159850066734987 0.13913233971654 0.139319754728749 0.154267087924676 0.154210600940517 0.116943909095421 0.141556496589695 0.133471495386519 0.151031965658964 0.191576203787084 0.130375462369154 0.120270505978362 0.161105563843726 0.176272737793291 0.12520228837867 0.192044057853732 0.149061084036113 0.164658646462481 0.164386211839693 0.124698745026827 0.124426830350527 0.120564409470202 0.218385286939393 0.0816473083031701 0.0871528233827326 0.086583988043366 0.148248335083311 0.236037001985861 0.14808905288023 0.304008299738817 0.217012866066975 0.157444188096847 0.219160958674143 0.216003618647143 0.173344718688933 0.15869572243254 0.186711016020495 0.209025278248805 0.14618420622789 0.18653233594462 0.123731873512748 0.204222618927203 0.220277878357906 0.132669306496121 0.118042824359204 0.118278754511379 0.121476902871508 0.1980121722345 0.173520206299127 0.195418829038784 0.197893535348082 0.181217527219795 0.169143603354581 0.128348484238493 0.174174747005669 0.117116725030901 0.119328573252385 0.124517419058442 0.122201085107744 0.210820760892665 0.131345467322118 0.188675880796635 0.12422437835484 0.121305546432334 0.175503848157035 0.164705193722933 0.149469471971686 0.140749267851194 0.148015637981129 0.147920539178778 0.123249427455954 0.131519466496156 0.124252756378514 0.199482663796247 0.109443819658426 0.159860863198639 0.120507655037307 0.202752275989135 0.205436272489318 0.206313254126602 0.202891196052523 0.215253964809898 0.213725508659154 0.142732811374333 0.115756922375491 0.168932256637556 0.135658301213931
